,MP,FG,FGA,3P,3PA,FT,FTA,TRB,STL,BLK,TOV,PF,+/-,PTS,Unnamed: 5,Opp
50,32.0,5.0,12.0,0.0,2.0,4.0,4.0,12.0,0.0,1.0,4.0,2.0,15.0,14.0,1,23
51,36.0,7.0,13.0,0.0,3.0,0.0,0.0,7.0,2.0,0.0,6.0,1.0,16.0,14.0,0,6
52,35.0,7.0,15.0,2.0,6.0,0.0,0.0,7.0,1.0,0.0,4.0,2.0,-2.0,16.0,0,23
53,37.0,10.0,19.0,1.0,5.0,3.0,5.0,4.0,0.0,0.0,4.0,2.0,-8.0,24.0,0,24
54,30.0,6.0,16.0,0.0,3.0,4.0,4.0,11.0,1.0,0.0,4.0,3.0,-2.0,16.0,1,9
55,28.0,6.0,11.0,1.0,4.0,0.0,0.0,9.0,1.0,0.0,2.0,0.0,-14.0,13.0,1,26
56,23.0,2.0,7.0,1.0,2.0,4.0,4.0,7.0,0.0,1.0,4.0,2.0,-12.0,9.0,0,21
57,32.0,4.0,10.0,1.0,2.0,2.0,2.0,12.0,0.0,0.0,3.0,0.0,-3.0,11.0,0,3
58,38.0,11.0,22.0,3.0,4.0,3.0,6.0,11.0,1.0,0.0,7.0,1.0,6.0,28.0,0,19
59,33.0,8.0,18.0,1.0,4.0,0.0,0.0,10.0,1.0,0.0,3.0,2.0,0.0,17.0,1,25
60,36.0,7.0,15.0,0.0,3.0,1.0,1.0,9.0,2.0,0.0,4.0,1.0,-17.0,15.0,1,22
86,33.0,6.0,14.0,2.0,7.0,0.0,0.0,11.0,0.0,2.0,4.0,4.0,3.0,14.0,0,17
87,32.0,8.0,17.0,2.0,4.0,1.0,2.0,12.0,1.0,1.0,1.0,2.0,-17.0,19.0,0,7
88,21.0,5.0,11.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,-15.0,10.0,1,17
92,25.0,3.0,12.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,-1.0,7.0,1,20
93,31.0,7.0,14.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,-10.0,16.0,1,7
94,26.0,6.0,14.0,2.0,3.0,1.0,1.0,6.0,0.0,0.0,4.0,1.0,-12.0,15.0,0,16
95,24.0,4.0,12.0,0.0,1.0,1.0,2.0,6.0,0.0,1.0,3.0,2.0,-12.0,9.0,0,8
96,44.0,9.0,19.0,0.0,4.0,0.0,2.0,15.0,0.0,0.0,1.0,1.0,-8.0,18.0,1,16
97,22.0,6.0,9.0,1.0,1.0,2.0,2.0,9.0,2.0,0.0,7.0,3.0,8.0,15.0,1,26
98,36.0,10.0,14.0,2.0,3.0,2.0,2.0,10.0,0.0,0.0,3.0,1.0,15.0,24.0,0,19
99,33.0,6.0,17.0,1.0,6.0,3.0,3.0,7.0,0.0,1.0,7.0,3.0,6.0,16.0,0,1
100,20.0,5.0,11.0,1.0,3.0,0.0,0.0,6.0,0.0,0.0,2.0,4.0,-23.0,11.0,0,28
101,36.0,10.0,20.0,0.0,4.0,0.0,1.0,6.0,0.0,1.0,3.0,4.0,-13.0,20.0,0,14
102,33.0,8.0,15.0,0.0,2.0,2.0,2.0,9.0,1.0,0.0,3.0,1.0,-2.0,18.0,1,19
103,28.0,5.0,12.0,1.0,4.0,1.0,2.0,4.0,0.0,0.0,3.0,1.0,-12.0,12.0,1,7
104,37.0,5.0,13.0,0.0,1.0,0.0,0.0,13.0,0.0,1.0,5.0,0.0,-2.0,10.0,1,3
105,28.0,7.0,14.0,0.0,1.0,4.0,7.0,5.0,1.0,0.0,4.0,4.0,-26.0,18.0,0,10
107,28.0,3.0,9.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,3.0,4.0,-5.0,7.0,0,18
108,32.0,7.0,18.0,0.0,1.0,0.0,0.0,14.0,2.0,0.0,0.0,1.0,6.0,14.0,1,25
109,33.0,8.0,16.0,3.0,7.0,2.0,3.0,12.0,2.0,2.0,4.0,4.0,8.0,21.0,0,17
110,27.0,5.0,12.0,2.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,6.0,17.0,0,0
111,26.0,4.0,13.0,2.0,3.0,0.0,0.0,10.0,1.0,0.0,3.0,0.0,-23.0,10.0,0,14
112,38.0,7.0,16.0,1.0,4.0,2.0,2.0,13.0,1.0,1.0,2.0,2.0,-6.0,17.0,0,5
113,30.0,6.0,13.0,2.0,2.0,0.0,0.0,5.0,1.0,0.0,4.0,1.0,-18.0,14.0,0,6
114,36.0,9.0,15.0,1.0,3.0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,15.0,19.0,1,15
115,29.0,5.0,10.0,1.0,4.0,0.0,0.0,13.0,0.0,0.0,4.0,1.0,-4.0,11.0,1,17
118,30.0,6.0,8.0,0.0,0.0,1.0,2.0,6.0,1.0,0.0,3.0,0.0,3.0,13.0,1,23
